Ranking diari,Audiencia,Cadena,Dia,Mes,Any
489,"0,9%",dkiss,19,01,2019
490,"0,7%",bemadtv,19,01,2019
491,"0,6%",teledeporte,19,01,2019
492,"0,5%",real-madrid-tv,19,01,2019
493,"0,4%",ten,19,01,2019
494,"12,9%",antena3,20,01,2019
495,"12,3%",telecinco,20,01,2019
496,"9,8%",la1,20,01,2019
497,"6,5%",cuatro,20,01,2019
498,"5,8%",lasexta,20,01,2019
499,"2,8%",la2,20,01,2019
500,"2,6%",energy,20,01,2019
501,"2,5%",fdf,20,01,2019
502,"2,5%",13tv,20,01,2019
503,"1,9%",paramountchannel,20,01,2019
504,"1,8%",neox,20,01,2019
505,"1,7%",nova,20,01,2019
506,"1,7%",clan,20,01,2019
507,"1,6%",divinity,20,01,2019
508,"1,5%",discoverymax,20,01,2019
509,"1,5%",mega-espana,20,01,2019
510,"1,4%",canal24horas,20,01,2019
511,"1,2%",atreseries,20,01,2019
512,"1,0%",boing,20,01,2019
513,"1,0%",disney-channel,20,01,2019
514,"0,8%",gol-television,20,01,2019
515,"0,8%",bemadtv,20,01,2019
516,"0,7%",dkiss,20,01,2019
517,"0,5%",teledeporte,20,01,2019
518,"0,4%",real-madrid-tv,20,01,2019
519,"0,3%",ten,20,01,2019
520,"15,5%",antena3,21,01,2019
521,"14,4%",telecinco,21,01,2019
522,"8,9%",la1,21,01,2019
523,"8,6%",lasexta,21,01,2019
524,"5,3%",cuatro,21,01,2019
525,"2,7%",nova,21,01,2019
526,"2,6%",fdf,21,01,2019
527,"2,6%",la2,21,01,2019
528,"2,1%",neox,21,01,2019
529,"2,1%",13tv,21,01,2019
530,"1,8%",energy,21,01,2019
531,"1,7%",paramountchannel,21,01,2019
532,"1,6%",clan,21,01,2019
533,"1,5%",discoverymax,21,01,2019
534,"1,5%",mega-espana,21,01,2019
535,"1,4%",divinity,21,01,2019
536,"1,2%",canal24horas,21,01,2019
537,"1,2%",atreseries,21,01,2019
538,"1,0%",disney-channel,21,01,2019
539,"0,9%",gol-television,21,01,2019
540,"0,8%",dkiss,21,01,2019
541,"0,8%",boing,21,01,2019
542,"0,6%",teledeporte,21,01,2019
543,"0,4%",ten,21,01,2019
544,"0,4%",bemadtv,21,01,2019
