index,Audiencia,Año,Cadena,Dia,Mes
24,"0,4%",2019,bemadtv,21,01
25,"0,1%",2019,real-madrid-tv,21,01
0,"18,3%",2019,telecinco,22,01
1,"14,9%",2019,antena3,22,01
2,"8,8%",2019,la1,22,01
3,"8,1%",2019,lasexta,22,01
4,"4,6%",2019,cuatro,22,01
5,"2,6%",2019,la2,22,01
6,"2,3%",2019,nova,22,01
7,"2,3%",2019,fdf,22,01
8,"2,0%",2019,energy,22,01
9,"1,9%",2019,13tv,22,01
10,"1,9%",2019,neox,22,01
11,"1,9%",2019,paramountchannel,22,01
12,"1,5%",2019,discoverymax,22,01
13,"1,5%",2019,clan,22,01
14,"1,5%",2019,mega-espana,22,01
15,"1,4%",2019,divinity,22,01
16,"1,1%",2019,canal24horas,22,01
17,"1,1%",2019,atreseries,22,01
18,"0,8%",2019,disney-channel,22,01
19,"0,8%",2019,boing,22,01
20,"0,6%",2019,dkiss,22,01
21,"0,5%",2019,gol-television,22,01
22,"0,4%",2019,teledeporte,22,01
23,"0,4%",2019,bemadtv,22,01
24,"0,3%",2019,ten,22,01
25,"0,2%",2019,real-madrid-tv,22,01
0,"15,3%",2019,telecinco,23,01
1,"14,3%",2019,antena3,23,01
2,"10,5%",2019,la1,23,01
3,"8,3%",2019,lasexta,23,01
4,"4,3%",2019,cuatro,23,01
5,"3,0%",2019,la2,23,01
6,"2,4%",2019,neox,23,01
7,"2,3%",2019,nova,23,01
8,"2,3%",2019,fdf,23,01
9,"2,1%",2019,energy,23,01
10,"1,9%",2019,13tv,23,01
11,"1,9%",2019,paramountchannel,23,01
12,"1,6%",2019,gol-television,23,01
13,"1,5%",2019,clan,23,01
14,"1,5%",2019,discoverymax,23,01
15,"1,4%",2019,mega-espana,23,01
16,"1,4%",2019,divinity,23,01
17,"1,2%",2019,atreseries,23,01
18,"1,1%",2019,canal24horas,23,01
19,"1,0%",2019,boing,23,01
20,"0,8%",2019,disney-channel,23,01
21,"0,7%",2019,dkiss,23,01
22,"0,5%",2019,teledeporte,23,01
23,"0,5%",2019,bemadtv,23,01
24,"0,4%",2019,ten,23,01
25,"0,2%",2019,real-madrid-tv,23,01
0,"18,3%",2019,telecinco,24,01
1,"14,1%",2019,antena3,24,01
2,"9,6%",2019,la1,24,01
3,"8,6%",2019,lasexta,24,01
4,"4,1%",2019,cuatro,24,01
5,"2,3%",2019,neox,24,01
6,"2,1%",2019,fdf,24,01
7,"2,1%",2019,la2,24,01
8,"1,9%",2019,nova,24,01
9,"1,9%",2019,13tv,24,01
10,"1,9%",2019,energy,24,01
11,"1,8%",2019,paramountchannel,24,01
12,"1,6%",2019,clan,24,01
13,"1,4%",2019,discoverymax,24,01
14,"1,3%",2019,mega-espana,24,01
15,"1,2%",2019,canal24horas,24,01
16,"1,1%",2019,atreseries,24,01
17,"1,1%",2019,divinity,24,01
18,"0,8%",2019,disney-channel,24,01
19,"0,8%",2019,boing,24,01
20,"0,6%",2019,dkiss,24,01
21,"0,6%",2019,gol-television,24,01
22,"0,5%",2019,bemadtv,24,01
23,"0,4%",2019,teledeporte,24,01
24,"0,3%",2019,ten,24,01
25,"0,3%",2019,real-madrid-tv,24,01
0,"20,0%",2019,telecinco,25,01
1,"14,5%",2019,antena3,25,01
2,"9,8%",2019,la1,25,01
3,"9,1%",2019,lasexta,25,01
4,"3,9%",2019,cuatro,25,01
5,"2,3%",2019,neox,25,01
6,"2,3%",2019,fdf,25,01
7,"2,0%",2019,energy,25,01
8,"1,9%",2019,la2,25,01
9,"1,9%",2019,nova,25,01
10,"1,7%",2019,canal24horas,25,01
11,"1,5%",2019,clan,25,01
12,"1,5%",2019,13tv,25,01
13,"1,3%",2019,discoverymax,25,01
14,"1,2%",2019,mega-espana,25,01
15,"1,2%",2019,divinity,25,01
16,"1,2%",2019,paramountchannel,25,01
17,"1,1%",2019,atreseries,25,01
18,"1,0%",2019,boing,25,01
19,"0,8%",2019,disney-channel,25,01
20,"0,7%",2019,gol-television,25,01
21,"0,6%",2019,dkiss,25,01
22,"0,5%",2019,bemadtv,25,01
23,"0,4%",2019,teledeporte,25,01
24,"0,3%",2019,ten,25,01
25,"0,2%",2019,real-madrid-tv,25,01
0,"14,7%",2019,telecinco,26,01
1,"12,4%",2019,antena3,26,01
2,"10,7%",2019,la1,26,01
3,"6,6%",2019,lasexta,26,01
4,"5,1%",2019,cuatro,26,01
5,"2,6%",2019,la2,26,01
6,"2,3%",2019,fdf,26,01
7,"2,3%",2019,neox,26,01
8,"2,2%",2019,energy,26,01
9,"1,9%",2019,canal24horas,26,01
10,"1,8%",2019,clan,26,01
11,"1,7%",2019,paramountchannel,26,01
12,"1,6%",2019,divinity,26,01
13,"1,6%",2019,discoverymax,26,01
14,"1,5%",2019,13tv,26,01
15,"1,4%",2019,boing,26,01
16,"1,3%",2019,disney-channel,26,01
17,"1,2%",2019,atreseries,26,01
18,"1,2%",2019,nova,26,01
19,"1,2%",2019,mega-espana,26,01
20,"0,9%",2019,gol-television,26,01
21,"0,8%",2019,bemadtv,26,01
22,"0,8%",2019,dkiss,26,01
23,"0,7%",2019,teledeporte,26,01
24,"0,4%",2019,ten,26,01
25,"0,3%",2019,real-madrid-tv,26,01
0,"11,8%",2019,telecinco,27,01
1,"11,1%",2019,antena3,27,01
2,"10,4%",2019,la1,27,01
3,"6,1%",2019,cuatro,27,01
4,"5,6%",2019,lasexta,27,01
5,"3,1%",2019,la2,27,01
6,"2,6%",2019,fdf,27,01
7,"2,6%",2019,energy,27,01
8,"2,5%",2019,neox,27,01
9,"2,1%",2019,divinity,27,01
10,"1,9%",2019,13tv,27,01
11,"1,9%",2019,paramountchannel,27,01
12,"1,8%",2019,clan,27,01
13,"1,7%",2019,discoverymax,27,01
14,"1,5%",2019,mega-espana,27,01
15,"1,3%",2019,nova,27,01
16,"1,2%",2019,disney-channel,27,01
17,"1,2%",2019,atreseries,27,01
18,"1,2%",2019,boing,27,01
19,"1,0%",2019,canal24horas,27,01
20,"1,0%",2019,gol-television,27,01
21,"0,9%",2019,bemadtv,27,01
22,"0,7%",2019,dkiss,27,01
23,"0,6%",2019,teledeporte,27,01
24,"0,5%",2019,real-madrid-tv,27,01
25,"0,4%",2019,ten,27,01
0,"15,3%",2019,antena3,28,01
1,"15,1%",2019,telecinco,28,01
2,"8,7%",2019,la1,28,01
3,"8,4%",2019,lasexta,28,01
